"","GrLivArea","Neighborhood","OverallQual","TotalBsmtSF","LotArea","BsmtFinSF1","ExterQual","MSZoning","MSSubClass","KitchenQual","OverallCond","KitchenAbvGr","BedroomAbvGr","MasVnrArea","GarageQual","SalePrice"
"271",1939,"Somerst",8,1095,10728,0,"Gd","FV",60,"Gd",5,1,3,0,"TA",266000
"272",1363,"ClearCr",7,1385,39104,226,"TA","RL",20,"TA",7,1,2,0,"TA",241500
"273",2270,"NoRidge",8,1152,11764,524,"Gd","RL",60,"Gd",7,1,4,348,"TA",290000
"274",1632,"NAmes",6,1240,9600,620,"TA","RL",20,"TA",6,1,3,183,"TA",139000
"275",816,"Mitchel",5,816,8314,546,"TA","RL",20,"TA",7,1,2,0,"TA",124500
"276",1548,"BrkSide",7,952,7264,0,"Gd","RL",50,"Ex",7,1,3,0,"TA",205000
"277",1560,"Mitchel",7,1560,9196,0,"Gd","RL",20,"Gd",5,1,3,0,"TA",201000
"278",864,"Gilbert",4,864,19138,120,"TA","RL",20,"TA",5,1,2,0,"TA",141000
"279",2121,"NridgHt",9,2121,14450,0,"Ex","RL",20,"Ex",5,1,3,315,"TA",415298
"280",2022,"ClearCr",7,1160,10005,392,"TA","RL",60,"TA",5,1,4,299,"TA",192000
"281",1982,"SawyerW",7,807,11287,421,"Gd","RL",60,"Gd",6,1,3,340,"TA",228500
"282",1262,"Somerst",6,1262,7200,905,"Gd","FV",20,"Gd",5,1,2,68,"TA",185000
"283",1314,"NridgHt",7,1314,5063,904,"Gd","RL",120,"Gd",5,1,2,166,"TA",207500
"284",1468,"Somerst",8,1468,9612,0,"Gd","RL",20,"Gd",5,1,3,72,"TA",244600
"285",1575,"SawyerW",6,1575,8012,430,"Gd","RL",120,"Gd",5,1,2,0,"TA",179200
"286",1250,"Somerst",7,625,4251,0,"Gd","FV",160,"Gd",5,1,2,0,"TA",164700
"287",1734,"NAmes",6,912,9786,600,"TA","RL",50,"Gd",7,1,3,0,"TA",159000
"288",858,"NAmes",4,858,8125,614,"TA","RL",20,"TA",4,1,3,0,"",88000
"289",900,"Sawyer",5,882,9819,450,"TA","RL",20,"TA",5,1,3,31,"TA",122000
"290",1396,"BrkSide",6,698,8730,0,"TA","RL",70,"TA",7,1,3,0,"TA",153575
"291",1919,"CollgCr",8,1079,15611,0,"Gd","RL",60,"Gd",5,1,3,0,"Gd",233230
"292",1716,"SWISU",5,780,5687,210,"TA","RL",190,"Fa",6,1,6,0,"",135900
"293",1716,"Edwards",5,768,11409,292,"TA","RL",50,"TA",4,1,3,0,"TA",131000
"294",2263,"NWAmes",7,795,16659,795,"TA","RL",60,"Gd",7,1,3,34,"TA",235000
"295",1644,"NAmes",6,1416,9600,1285,"TA","RL",20,"TA",5,1,3,238,"TA",167000
"296",1003,"Mitchel",6,1003,7937,819,"TA","RL",80,"TA",6,1,3,0,"TA",142500
"297",1558,"IDOTRR",5,910,13710,420,"TA","RM",50,"TA",5,1,4,0,"TA",152000
"298",1950,"Somerst",7,975,7399,649,"Gd","FV",60,"Gd",5,1,3,1600,"TA",239000
"299",1743,"NWAmes",6,702,11700,384,"Gd","RL",60,"TA",6,1,3,365,"TA",175000
"300",1152,"Crawfor",6,1092,14000,0,"TA","RL",20,"Gd",8,1,3,0,"TA",158500
"301",1336,"Crawfor",5,1165,15750,841,"TA","RL",190,"TA",5,1,2,56,"TA",157000
"302",2452,"CollgCr",8,1028,16226,281,"Gd","RL",60,"Gd",5,1,4,0,"TA",267000
"303",1541,"CollgCr",7,1541,13704,0,"Gd","RL",20,"Gd",5,1,3,150,"TA",205000
"304",894,"CollgCr",5,894,9800,894,"TA","RL",20,"TA",7,1,3,0,"TA",149900
"305",3493,"OldTown",7,1470,18386,0,"TA","RM",75,"Gd",9,1,3,0,"TA",295000
"306",2000,"CollgCr",8,2000,10386,1464,"Gd","RL",20,"Gd",5,1,3,246,"TA",305900
"307",2243,"SawyerW",7,700,13474,700,"Gd","RL",60,"Gd",5,1,4,246,"TA",225000
"308",1406,"IDOTRR",6,319,7920,0,"TA","RM",50,"Fa",7,1,3,0,"",89500
"309",861,"Edwards",4,861,12342,262,"TA","RL",30,"TA",5,1,1,0,"TA",82500
"310",1944,"NridgHt",9,1896,12378,1274,"Gd","RL",20,"Ex",5,1,3,0,"TA",360000
"311",1501,"Gilbert",6,697,7685,518,"TA","RL",60,"Gd",5,1,3,112,"TA",165600
"312",972,"NAmes",6,972,8000,680,"TA","RL",20,"TA",6,1,2,0,"TA",132000
"313",1118,"OldTown",5,793,7800,507,"TA","RM",190,"TA",7,1,3,0,"TA",119900
"314",2036,"Timber",7,2136,215245,1236,"TA","RL",20,"TA",5,1,3,0,"TA",375000
"315",1641,"OldTown",7,728,9600,16,"TA","RM",70,"Ex",7,1,3,0,"Fa",178000
"316",1432,"Gilbert",7,716,7795,425,"Gd","RL",60,"Gd",5,1,3,0,"TA",188500
"317",2353,"NWAmes",7,845,13005,692,"Gd","RL",60,"Ex",7,1,4,278,"TA",260000
"318",1959,"Somerst",8,1088,9000,0,"Gd","FV",60,"Gd",5,1,3,0,"TA",270000
"319",2646,"NoRidge",7,1347,9900,987,"Gd","RL",60,"Gd",5,1,4,256,"TA",260000
"320",1472,"NWAmes",7,1372,14115,1036,"TA","RL",80,"TA",5,1,3,225,"TA",187500
"321",2596,"NridgHt",9,1249,16259,0,"TA","RL",60,"Gd",5,1,4,370,"TA",342643
"322",2468,"NridgHt",8,1136,12099,970,"Gd","RL",60,"Gd",5,1,4,388,"TA",354000
"323",2730,"SawyerW",7,1502,10380,28,"Gd","RL",60,"Gd",5,1,4,172,"TA",301000
"324",1163,"OldTown",3,1162,5820,256,"TA","RM",20,"TA",8,1,3,0,"Fa",126175
"325",2978,"NAmes",7,710,11275,0,"Gd","RL",80,"Gd",7,1,5,300,"TA",242000
"326",803,"IDOTRR",5,720,5000,116,"TA","RM",45,"TA",6,1,2,0,"TA",87000
"327",1719,"Veenker",8,1719,10846,1619,"Gd","RL",120,"Gd",5,1,1,0,"TA",324000
"328",1383,"NAmes",6,1383,11600,565,"TA","RL",20,"TA",5,1,3,175,"TA",145250
"329",2134,"BrkSide",6,844,11888,0,"TA","RL",75,"Gd",6,1,5,0,"TA",214500
"330",1192,"IDOTRR",5,596,6402,0,"TA","RM",70,"TA",5,1,3,0,"Fa",78000
"331",1728,"NAmes",5,1728,10624,40,"TA","RL",90,"TA",4,2,6,84,"TA",119000
"332",1056,"NAmes",5,1056,8176,846,"TA","RL",20,"TA",6,1,3,0,"TA",139000
"333",1629,"NridgHt",8,3206,10655,1124,"Gd","RL",20,"Gd",5,1,3,296,"TA",284000
"334",1358,"NridgHt",7,1358,8198,720,"Gd","RM",120,"Gd",5,1,2,146,"TA",207000
"335",1638,"Gilbert",6,943,9042,828,"TA","RL",60,"TA",5,1,3,0,"TA",192000
"336",1786,"Timber",5,1499,164660,1249,"TA","RL",190,"TA",6,1,3,0,"TA",228950
"337",1922,"StoneBr",9,1922,14157,1249,"Gd","RL",20,"Gd",5,1,3,200,"TA",377426
"338",1536,"CollgCr",7,1536,9135,810,"Gd","RL",20,"Gd",5,1,3,113,"TA",214000
"339",1621,"NWAmes",7,1208,14145,213,"Gd","RL",20,"Gd",7,1,3,0,"TA",202500
"340",1215,"NAmes",6,1215,12400,585,"TA","RL",20,"TA",7,1,3,176,"TA",155000
"341",1908,"Timber",8,967,14191,0,"Gd","RL",60,"Gd",5,1,4,0,"TA",202900
"342",841,"SawyerW",4,721,8400,0,"Fa","RH",20,"TA",4,1,2,0,"TA",82000
"343",1040,"NAmes",3,0,8544,0,"TA","RL",90,"TA",4,2,2,340,"TA",87500
"344",1684,"NridgHt",9,1684,8849,28,"Ex","RL",120,"Ex",5,1,2,616,"TA",266000
"345",1112,"MeadowV",5,536,2592,129,"TA","RM",160,"TA",3,1,3,0,"TA",85000
"346",1577,"BrkSide",6,972,6435,0,"TA","RL",50,"Fa",5,1,3,0,"TA",140200
"347",958,"NAmes",6,958,12772,498,"TA","RL",20,"TA",8,1,2,0,"TA",151500
"348",1478,"NAmes",6,1478,17600,1270,"TA","RL",20,"TA",5,1,3,30,"TA",157500
"349",1626,"NridgHt",7,764,2448,573,"Gd","RL",160,"Gd",5,1,2,106,"TA",154000
"350",2728,"NridgHt",9,1848,20431,1410,"Ex","RL",60,"Ex",5,1,4,870,"TA",437154
"351",1869,"NridgHt",9,1869,7820,0,"Ex","RL",120,"Ex",5,1,2,362,"TA",318061
"352",1453,"ClearCr",7,1453,5271,1082,"TA","RL",120,"Gd",5,1,2,0,"TA",190000
"353",1111,"Edwards",5,616,9084,236,"TA","RL",50,"TA",6,1,3,0,"TA",95000
"354",720,"OldTown",6,624,8520,0,"TA","RM",30,"TA",8,1,2,0,"TA",105900
"355",1595,"SWISU",6,940,8400,388,"TA","RL",50,"TA",5,1,2,0,"TA",140000
"356",1200,"CollgCr",6,1200,11249,334,"Gd","RL",20,"Gd",5,1,3,0,"TA",177500
"357",1167,"Gilbert",6,1158,9248,560,"TA","RL",20,"Gd",6,1,3,106,"TA",173000
"358",1142,"MeadowV",5,1142,4224,874,"TA","RM",120,"TA",5,1,3,0,"TA",134000
"359",1352,"ClearCr",5,1062,6930,300,"TA","RL",80,"Gd",4,1,3,120,"TA",130000
"360",1924,"NoRidge",8,1086,12011,956,"Gd","RL",60,"Gd",5,1,3,530,"TA",280000
"361",912,"Mitchel",6,888,7540,773,"TA","RL",85,"TA",6,1,2,0,"TA",156000
"362",1505,"BrkSide",5,883,9144,399,"TA","RL",50,"TA",5,1,3,0,"TA",145000
"363",1922,"Edwards",7,0,7301,0,"Gd","RL",85,"Gd",5,1,4,500,"TA",198500
"364",987,"BrDale",6,483,1680,162,"TA","RM",160,"Gd",8,1,2,510,"TA",118000
"365",1574,"NWAmes",6,796,18800,712,"TA","RL",60,"TA",5,1,3,120,"TA",190000
"366",1344,"IDOTRR",5,672,10690,456,"TA","RM",70,"TA",7,1,3,0,"TA",147000
"367",1394,"NAmes",6,1394,9500,609,"TA","RL",20,"TA",5,1,3,247,"TA",159000
"368",1431,"NAmes",6,1099,9150,371,"TA","RL",80,"TA",5,1,3,305,"TA",165000
"369",1268,"NAmes",5,1268,7800,540,"TA","RL",20,"TA",6,1,2,200,"TA",132000
"370",1287,"NAmes",5,1063,9830,72,"TA","RL",20,"Gd",7,1,3,0,"TA",162000
"371",1664,"Gilbert",6,953,8121,0,"TA","RL",60,"TA",5,1,3,0,"TA",172400
"372",1588,"ClearCr",4,0,17120,0,"TA","RL",50,"TA",4,1,4,0,"TA",134432
"373",752,"SawyerW",6,744,7175,623,"TA","RL",120,"TA",5,1,2,0,"TA",125000
"374",1319,"NAmes",5,608,10634,428,"TA","RL",20,"TA",6,1,3,0,"TA",123000
"375",1928,"CollgCr",7,847,8200,0,"Gd","RL",60,"Gd",5,1,4,0,"TA",219500
"376",904,"Edwards",1,683,10020,350,"Fa","RL",30,"Fa",1,1,1,0,"",61000
"377",914,"CollgCr",5,870,8846,298,"Gd","RL",85,"TA",5,1,2,0,"TA",148000
"378",2466,"Somerst",8,1580,11143,0,"Gd","FV",60,"Gd",5,1,4,0,"TA",340000
"379",1856,"StoneBr",9,1856,11394,1445,"Gd","RL",20,"Ex",2,1,1,350,"TA",394432
"380",1800,"Gilbert",6,982,8123,0,"TA","RL",60,"TA",5,1,3,16,"TA",179000
"381",1691,"SWISU",5,1026,5000,218,"TA","RL",50,"Gd",6,1,3,0,"TA",127000
"382",1301,"Somerst",7,1293,7200,0,"Gd","FV",20,"Gd",5,1,2,0,"TA",187750
"383",1797,"CollgCr",7,939,9245,0,"Gd","RL",60,"Gd",5,1,3,0,"TA",213500
"384",784,"SawyerW",6,784,9000,0,"TA","RH",45,"TA",3,1,2,0,"Fa",76000
"385",1953,"ClearCr",6,1580,53107,985,"Gd","RL",60,"Gd",5,1,3,0,"TA",240000
"386",1269,"Blmngtn",8,1256,3182,24,"Gd","RL",120,"Gd",5,1,2,16,"TA",192000
"387",1184,"Edwards",5,658,8410,0,"TA","RL",50,"TA",3,1,5,0,"",81000
"388",1125,"Edwards",6,1041,7200,631,"TA","RL",80,"TA",6,1,3,255,"TA",125000
"389",1479,"CollgCr",7,1468,9382,0,"Gd","RL",20,"Gd",5,1,3,125,"TA",191000
"390",2332,"NridgHt",10,1682,12474,1280,"Ex","RL",60,"Ex",5,1,3,272,"TA",426000
"391",1367,"Edwards",5,861,8405,241,"TA","RL",50,"TA",8,1,4,0,"TA",119000
"392",1961,"Mitchel",6,804,12209,690,"TA","RL",60,"Gd",5,1,3,0,"TA",215000
"393",882,"NAmes",5,0,8339,0,"TA","RL",20,"TA",7,1,3,0,"TA",106500
"394",788,"BrkSide",4,788,7446,266,"TA","RL",30,"TA",5,1,2,0,"",100000
"395",1034,"OldTown",5,735,10134,0,"TA","RL",50,"TA",6,1,2,0,"TA",109000
"396",1144,"Edwards",5,1144,9571,739,"TA","RL",20,"TA",6,1,3,0,"TA",129000
"397",894,"CollgCr",5,894,7200,777,"TA","RL",20,"TA",5,1,2,0,"TA",123000
"398",1812,"NAmes",5,864,7590,540,"TA","RL",60,"TA",5,1,4,288,"TA",169500
"399",1077,"IDOTRR",5,961,8967,0,"TA","RM",30,"TA",2,1,2,0,"Po",67000
"400",1550,"Somerst",7,1092,8125,812,"Gd","FV",60,"Gd",5,1,2,100,"TA",241000
"401",1288,"Veenker",8,1260,14963,786,"Gd","RL",120,"Ex",5,1,1,0,"TA",245500
"402",1310,"CollgCr",7,1310,8767,24,"Gd","RL",20,"Gd",5,1,3,0,"TA",164990
"403",672,"Sawyer",5,672,10200,0,"TA","RL",30,"TA",8,1,2,0,"TA",108000
"404",2263,"NoRidge",8,1141,12090,0,"Gd","RL",60,"Gd",5,1,4,650,"TA",258000
"405",1572,"Gilbert",6,806,10364,0,"TA","RL",60,"TA",5,1,3,0,"TA",168000
"406",1620,"Sawyer",4,1281,9991,1116,"TA","RL",20,"TA",4,1,3,0,"TA",150000
"407",1639,"SWISU",6,1064,10480,0,"TA","RL",50,"TA",5,1,3,0,"TA",115000
"408",1680,"Crawfor",6,840,15576,0,"TA","RL",70,"TA",7,1,4,0,"TA",177000
"409",2172,"NridgHt",7,1063,14154,0,"Gd","RL",60,"Gd",5,1,3,350,"TA",280000
"410",2078,"Somerst",8,1034,10800,789,"Gd","FV",60,"Ex",5,1,3,100,"TA",339750
"411",1276,"Edwards",5,1276,9571,0,"TA","RL",20,"TA",3,1,3,0,"TA",60000
"412",1056,"Gilbert",5,1056,34650,1056,"TA","RL",190,"TA",5,1,3,0,"TA",145000
"413",1478,"Somerst",7,1470,4403,578,"Ex","FV",20,"Gd",5,1,2,432,"TA",222000
"414",1028,"OldTown",5,1008,8960,0,"TA","RM",30,"TA",6,1,2,0,"TA",115000
"415",2097,"SawyerW",7,1080,11228,50,"Gd","RL",60,"Gd",5,1,3,0,"TA",228000
"416",1340,"Gilbert",7,1340,8899,24,"Gd","RL",20,"Gd",5,1,3,0,"TA",181134
"417",1400,"Sawyer",6,672,7844,209,"TA","RL",60,"TA",7,1,3,203,"TA",149500
"418",2624,"Crawfor",6,1370,22420,1128,"TA","RL",70,"TA",6,1,4,0,"TA",239000
"419",1134,"Edwards",5,756,8160,312,"TA","RL",50,"TA",6,1,3,0,"TA",126000
"420",1056,"NAmes",5,1056,8450,775,"TA","RL",20,"TA",6,1,3,0,"TA",142000
"421",1344,"Mitchel",7,1344,7060,1309,"TA","RM",90,"TA",5,2,2,200,"TA",206300
"422",1602,"NWAmes",6,1602,16635,1246,"Gd","RL",20,"Gd",7,1,3,126,"TA",215000
"423",988,"Mitchel",5,988,21750,0,"TA","RL",20,"TA",5,1,2,0,"TA",113000
"424",2630,"NoRidge",8,1470,9200,986,"Gd","RL",60,"Gd",5,1,4,473,"TA",315000
"425",1196,"NAmes",6,1196,9000,616,"TA","RL",20,"TA",5,1,2,74,"TA",139000
"426",1389,"OldTown",7,651,3378,0,"TA","RM",60,"TA",8,1,3,0,"TA",135000
"427",1644,"SawyerW",7,1518,12800,1518,"Gd","RL",80,"Gd",5,1,2,145,"TA",275000
"428",907,"NAmes",4,907,8593,288,"TA","RL",20,"TA",6,1,3,0,"TA",109008
"429",1208,"CollgCr",7,1208,6762,664,"Gd","RL",20,"Gd",5,1,2,108,"TA",195400
"430",1412,"Timber",6,1392,11457,1005,"TA","RL",20,"Gd",5,1,3,0,"TA",175000
"431",987,"BrDale",6,483,1680,387,"TA","RM",160,"TA",5,1,2,232,"TA",85400
"432",1198,"OldTown",6,901,5586,0,"TA","RM",50,"TA",7,1,4,0,"",79900
"433",1365,"BrDale",5,765,1920,471,"TA","RM",160,"TA",5,1,2,376,"TA",122500
"434",1604,"Gilbert",6,926,10839,0,"TA","RL",60,"TA",5,1,3,0,"TA",181000
"435",630,"MeadowV",4,630,1890,495,"TA","RM",180,"TA",7,1,1,0,"",81000
"436",1661,"CollgCr",7,799,10667,385,"Gd","RL",60,"Gd",6,1,3,0,"TA",212000
"437",1118,"OldTown",6,648,4400,0,"TA","RM",50,"TA",8,1,2,0,"TA",116000
"438",904,"BrkSide",6,884,6000,0,"Gd","RM",45,"TA",7,1,2,0,"TA",119000
"439",694,"Crawfor",5,440,4280,365,"TA","RL",30,"Gd",6,1,2,0,"Gd",90350
"440",1196,"Edwards",6,684,12354,0,"TA","RL",50,"Gd",8,1,3,0,"TA",110000
"441",2402,"NridgHt",10,3094,15431,1767,"Ex","RL",20,"Ex",5,1,2,200,"TA",555000
"442",1440,"Edwards",4,1440,12108,133,"TA","RL",90,"Fa",4,2,4,270,"",118000
"443",1573,"BrkSide",5,1078,6240,0,"TA","RM",50,"TA",7,1,3,0,"TA",162900
"444",1258,"Blmngtn",7,1258,3922,0,"Gd","RL",120,"Gd",5,1,2,72,"TA",172500
"445",1908,"CollgCr",7,915,8750,642,"Gd","RL",60,"Gd",5,1,4,0,"TA",210000
"446",1689,"Edwards",6,1436,9855,0,"TA","RL",20,"TA",5,1,3,0,"TA",127500
"447",1888,"NAmes",6,1517,16492,247,"Gd","RL",20,"Gd",6,1,2,0,"TA",190000
"448",1886,"Gilbert",7,930,11214,0,"Gd","RL",60,"Gd",5,1,4,0,"TA",199900
"449",1376,"IDOTRR",6,780,8600,0,"TA","RM",50,"TA",6,1,3,0,"TA",119500
"450",1183,"OldTown",3,649,6000,331,"TA","RM",50,"TA",7,1,2,0,"TA",120000
"451",813,"OldTown",6,813,5684,0,"TA","RM",30,"Gd",8,1,2,0,"Fa",110000
"452",1533,"ClearCr",7,1533,70761,655,"TA","RL",20,"Gd",5,1,2,0,"TA",280000
"453",1756,"Timber",6,872,9303,742,"Gd","RL",60,"TA",5,1,3,42,"TA",204000
"454",1590,"Somerst",8,768,9000,0,"Gd","FV",60,"Gd",5,1,3,0,"TA",210000
"455",1728,"Mitchel",5,1728,9297,1606,"TA","RL",90,"TA",5,2,4,0,"TA",188000
"456",1242,"NWAmes",7,1242,9600,916,"TA","RL",20,"TA",6,1,3,320,"TA",175500
"457",1344,"OldTown",5,624,4571,0,"TA","RM",70,"TA",5,1,4,0,"Fa",98000
"458",1663,"ClearCr",4,1364,53227,1116,"TA","RL",20,"Gd",6,1,2,0,"TA",256000
"459",1666,"OldTown",8,588,5100,0,"TA","RM",70,"Gd",7,1,3,0,"TA",161000
"460",1203,"BrkSide",5,709,7015,185,"TA","RL",50,"Gd",4,1,3,161,"TA",110000
"461",1935,"Somerst",8,832,8004,544,"Gd","FV",60,"TA",5,1,3,110,"TA",263435
"462",1135,"SWISU",7,560,7200,350,"Gd","RL",70,"Gd",9,1,3,0,"TA",155000
"463",864,"Sawyer",5,864,8281,553,"TA","RL",20,"TA",5,1,3,0,"TA",62383
"464",1660,"Crawfor",6,715,11988,326,"TA","RL",70,"TA",7,1,3,0,"TA",188700
"465",1040,"CollgCr",5,1040,8430,616,"TA","RL",20,"TA",5,1,3,136,"",124000
"466",1414,"Blmngtn",7,1375,3072,0,"Gd","RM",120,"Gd",5,1,2,18,"TA",178740
"467",1277,"NAmes",7,1277,10628,778,"TA","RL",20,"TA",5,1,2,0,"TA",167000
"468",1644,"NAmes",5,728,9480,386,"TA","RL",70,"Gd",7,1,3,224,"TA",146500
"469",1634,"NridgHt",8,1626,11428,0,"Gd","RL",20,"Gd",5,1,3,248,"TA",250000
"470",1710,"SawyerW",6,832,9291,426,"Gd","RL",60,"Gd",5,1,3,120,"TA",187000
"471",1502,"StoneBr",8,1488,6820,368,"Gd","RL",120,"Gd",5,1,1,0,"TA",212000
"472",1969,"NWAmes",7,808,11952,0,"TA","RL",60,"TA",6,1,3,0,"TA",190000
"473",1072,"Edwards",6,547,3675,459,"TA","RM",180,"TA",5,1,2,80,"TA",148000
"474",1976,"NridgHt",8,1976,14977,1350,"Gd","RL",20,"Gd",5,1,2,304,"TA",440000
"475",1652,"StoneBr",8,1494,5330,1196,"Gd","RL",120,"Ex",5,1,2,0,"TA",251000
"476",970,"Sawyer",5,970,8480,630,"TA","RL",20,"TA",6,1,2,0,"TA",132500
"477",1493,"CollgCr",6,1478,13125,994,"TA","RL",20,"Gd",5,1,3,215,"TA",208900
"478",2643,"NridgHt",9,2153,13693,0,"Ex","RL",60,"Ex",5,1,3,772,"TA",380000
"479",1718,"CollgCr",8,1705,10637,1288,"Gd","RL",20,"Gd",5,1,3,336,"TA",297000
"480",1131,"OldTown",4,907,5925,168,"TA","RM",30,"TA",7,1,2,435,"TA",89471
"481",1850,"NridgHt",9,1833,16033,1261,"Gd","RL",20,"Gd",5,1,3,378,"TA",326000
"482",1792,"NridgHt",9,1792,11846,1567,"Gd","RL",20,"Ex",5,1,2,562,"TA",374000
"483",1826,"OldTown",7,910,2500,299,"Gd","RM",70,"Ex",8,1,4,0,"Fa",155000
"484",1216,"Mitchel",6,1216,4500,897,"TA","RM",120,"TA",5,1,2,116,"TA",164000
"485",999,"Sawyer",5,999,7758,588,"TA","RL",20,"Gd",7,1,3,0,"TA",132500
"486",1113,"NAmes",5,1113,9600,607,"Gd","RL",20,"Gd",7,1,3,0,"TA",147000
"487",1073,"NAmes",5,1073,10289,836,"TA","RL",20,"TA",7,1,3,168,"TA",156000
"488",1484,"NWAmes",5,1484,12243,998,"TA","RL",20,"TA",6,1,3,0,"TA",175000
"489",2414,"OldTown",5,954,10800,664,"TA","RL",190,"TA",4,2,3,0,"TA",160000
"490",630,"MeadowV",4,630,1526,515,"TA","RM",180,"Gd",8,1,1,0,"TA",86000
"491",1304,"MeadowV",5,264,2665,0,"TA","RM",160,"TA",6,1,3,0,"TA",115000
"492",1578,"NAmes",6,806,9490,403,"TA","RL",50,"Fa",7,1,3,0,"TA",133000
"493",1456,"Gilbert",6,728,15578,0,"Gd","RL",60,"TA",5,1,3,0,"TA",172785
"494",1269,"NAmes",5,1269,7931,374,"TA","RL",20,"TA",6,1,3,0,"TA",155000
"495",886,"OldTown",5,190,5784,0,"TA","RM",30,"TA",8,1,2,0,"TA",91300
"496",720,"IDOTRR",4,720,7879,495,"TA","C (all)",30,"TA",5,1,2,0,"",34900
"497",3228,"NoRidge",8,3200,12692,1231,"Gd","RL",20,"Gd",5,1,4,0,"TA",430000
"498",1820,"BrkSide",7,1026,9120,329,"TA","RL",50,"TA",6,1,4,0,"TA",184000
"499",899,"Sawyer",5,864,7800,450,"TA","RL",20,"Gd",7,1,3,89,"TA",130000
"500",912,"NAmes",5,912,7535,111,"TA","RL",20,"TA",7,1,2,0,"TA",120000
"501",1218,"BrDale",6,672,1890,356,"TA","RM",160,"TA",5,1,3,285,"TA",113000
"502",1768,"Somerst",7,866,9803,400,"Gd","FV",60,"Gd",5,1,3,0,"TA",226700
"503",1214,"Edwards",5,1214,9170,698,"TA","RL",20,"TA",7,1,2,0,"Fa",140000
"504",1801,"Crawfor",7,1501,15602,1247,"TA","RL",20,"TA",8,1,1,0,"TA",289000
"505",1322,"NPkVill",6,855,2308,257,"TA","RL",160,"TA",5,1,3,0,"TA",147000
"506",1960,"OldTown",5,960,7596,0,"TA","RM",90,"TA",5,2,4,360,"TA",124500
"507",1911,"SawyerW",8,777,9554,380,"Gd","RL",60,"Gd",5,1,3,125,"TA",215000
"508",1218,"Somerst",6,1218,7862,27,"Gd","FV",20,"Gd",5,1,2,0,"TA",208300
"509",1378,"OldTown",7,689,9600,141,"TA","RM",70,"Gd",9,1,3,0,"TA",161000
"510",1041,"NAmes",5,1041,9600,991,"TA","RL",20,"TA",6,1,3,132,"TA",124500
"511",1363,"NAmes",5,1008,14559,650,"Gd","RL",20,"TA",7,1,2,70,"TA",164900
"512",1368,"NridgHt",7,1368,6792,0,"Gd","RL",120,"Gd",5,1,2,94,"TA",202665
"513",864,"NAmes",5,864,9100,521,"TA","RL",20,"TA",5,1,3,0,"TA",129900
"514",1080,"Mitchel",6,1084,9187,336,"TA","RL",20,"TA",5,1,3,0,"TA",134000
"515",789,"Crawfor",5,768,10594,0,"TA","RL",45,"TA",5,1,2,0,"Po",96500
"516",2020,"NridgHt",10,2006,12220,1436,"Ex","RL",20,"Ex",5,1,3,305,"TA",402861
"517",2119,"NWAmes",6,689,10448,0,"TA","RL",80,"TA",6,1,3,333,"TA",158000
"518",2344,"NoRidge",7,1264,10208,0,"Gd","RL",60,"Gd",5,1,3,921,"TA",265000
"519",1796,"CollgCr",6,794,9531,706,"TA","RL",60,"TA",5,1,3,0,"TA",211000
"520",2080,"Crawfor",7,1276,10918,0,"Gd","RL",70,"Gd",9,1,3,0,"TA",234000
"521",1294,"OldTown",4,0,10800,0,"TA","RL",190,"TA",7,2,3,0,"",106250
"522",1244,"NAmes",6,1244,11988,777,"TA","RL",20,"TA",6,1,3,0,"TA",150000
"523",1664,"BrkSide",6,1004,5000,399,"TA","RM",50,"TA",7,1,3,0,"TA",159000
"524",4676,"Edwards",10,3138,40094,2260,"Ex","RL",60,"Ex",5,1,3,762,"TA",184750
"525",2398,"NoRidge",7,1379,11787,719,"Gd","RL",60,"Gd",5,1,3,594,"TA",315750
"526",1266,"Somerst",7,1257,7500,0,"Gd","FV",20,"Gd",5,1,3,0,"TA",176000
"527",928,"NAmes",5,928,13300,377,"TA","RL",20,"TA",7,1,2,0,"TA",132000
"528",2713,"NridgHt",9,1452,14948,1330,"Ex","RL",60,"Ex",5,1,3,268,"TA",446261
"529",605,"Edwards",4,528,9098,348,"TA","RL",30,"TA",7,1,2,0,"",86000
"530",2515,"Crawfor",6,2035,32668,1219,"Gd","RL",20,"TA",3,2,4,NA,"TA",200624
"531",1509,"Timber",6,1461,10200,783,"Gd","RL",80,"Gd",5,1,3,219,"TA",175000
"532",1362,"BrkSide",6,611,6155,0,"TA","RM",70,"TA",8,1,3,0,"TA",128000
"533",827,"NAmes",5,0,7200,0,"TA","RL",20,"TA",7,1,2,0,"TA",107500
"534",334,"BrkSide",1,0,5000,0,"Fa","RL",20,"Fa",3,1,1,0,"",39300
"535",1414,"Gilbert",8,707,9056,0,"Gd","RL",60,"Gd",5,1,3,0,"TA",178000
"536",1347,"Edwards",5,1117,7000,969,"TA","RL",190,"TA",7,1,3,0,"",107500
"537",1724,"CollgCr",7,880,8924,0,"TA","RL",60,"Gd",5,1,3,0,"TA",188000
"538",864,"NAmes",4,864,12735,600,"TA","RL",20,"TA",5,1,3,0,"TA",111250
"539",1159,"Sawyer",5,1051,11553,673,"TA","RL",20,"TA",5,1,3,188,"TA",158000
"540",1601,"CollgCr",8,1581,11423,1358,"Gd","RL",20,"Gd",5,1,3,479,"TA",272000
"541",1838,"Timber",9,1838,14601,1260,"Ex","RL",20,"Ex",5,1,2,584,"TA",315000
"542",2285,"NoRidge",8,969,11000,0,"Gd","RL",60,"Gd",5,1,4,72,"TA",248000
